"7CBY-SWAB" "9CBY-SWAB" "G001" "G002" "G003" "G004" "G005" "G006" "G007" "G008" "G009" "G010" "G011" "G012" "G013" "G014" "G015" "G016" "G017" "G018" "G019" "G020" "G021" "G022" "G023" "G024" "G025" "G026" "G027" "G028" "G029" "G030" "G031" "G032" "G033" "G034" "G035" "G036" "G037" "G038" "G039" "G040" "G041" "G042" "G043" "G044" "G045" "G046" "G047" "G048" "G049" "G050" "G051" "G052" "G053" "G054" "G055" "G056" "G057" "G058" "G059" "G060" "G061" "G062" "G063" "G064" "G065" "G066" "G067" "G068" "G069" "G070" "G071" "G072" "G073" "G074" "G075" "G076" "G077" "G078" "G079" "G080" "G081" "G082" "G083" "G084" "G085" "G086" "G087" "G088" "G089" "G090" "G091" "G092" "G093" "G094" "G095" "G096" "G097" "G098" "G099" "G100" "G101" "G102" "G103" "G104" "G105" "G106" "G107" "G108" "G109" "G110" "G111" "G112" "G113" "G114" "G115" "G116" "G117" "G118" "G119" "G120" "G121" "G122" "G123" "G124" "G125" "G126" "G127" "G128" "G129" "G130" "G131" "G132" "G133" "G134" "G135" "G136" "G137" "G138" "G139" "G140" "G141" "G142" "G143" "G144" "G145" "G47BY-SWAB" "G67BY-SWAB" "LABY-SWAB" "MC1" "MC2" "NEG1" "NEG2" "NEG3" "TFBY-SWAB" "XCBY-SWAB" "ZABY-SWAB"
"SV1" 771 265 116 252 46116 47424 67716 39327 33942 36406 67591 63724 16947 52 30124 43493 3267 48174 38609 78774 61065 41952 29641 56222 56349 29005 41833 65658 22870 30514 87181 61127 35029 43907 52811 12741 150502 11476 61578 43499 36195 79239 40312 90171 48633 334 20143 84987 7143 8143 35895 60126 26483 11483 20467 35210 25756 20171 6350 53821 24292 16419 17462 13354 45405 12983 21626 61179 24074 45966 68396 56741 8987 80330 7424 20719 23899 6465 11090 25170 9577 34247 13561 45292 118218 34360 45499 33750 32150 381 2929 35082 33394 265 8875 53634 42671 6047 2841 18243 48328 40972 28949 67465 33481 67423 30398 79741 65077 26570 54609 53331 28392 29629 27081 110764 38782 31309 36198 33984 4091 11807 21344 21526 84256 23985 63119 15011 32412 8925 53872 62296 12936 21989 78579 9608 14031 33638 2316 83158 41150 31886 39978 38621 24935 40423 8364 2306 1653 978 31 0 37 15 6 791 1278 2863
"SV2" 0 0 2822 0 205 179 0 0 517 25 313 0 62 0 9 29 2947 0 31 6054 0 87 0 278 0 49 15 63 446 10 16 111 0 0 30 17 826 40 18 0 0 0 530 451 78 0 3773 0 35649 4552 313 0 0 0 1483 267 0 0 7912 133 0 18645 297 0 23917 5459 286 105 44 0 278 173 4276 73 0 0 361 47504 7988 0 1832 20420 20347 60 10984 6089 0 0 0 253 36413 103 0 0 0 507 1828 11218 24013 60 0 0 8 13 84 22 3205 197 359 55 175 816 0 7719 22003 488 0 761 71 22 124 0 10 9 0 10 68 0 276 38006 272 250 127 88 0 0 39 0 4529 128 0 33 76 535 0 352 0 0 0 0 0 0 0 0 0 0 0 0
"SV3" 100 126 1340 0 82 30 0 0 179 0 1132 0 42 0 0 0 40207 10 0 168 26 1334 0 926 0 0 0 0 665 0 0 282 89 18 46 0 55 214 0 0 0 0 1276 777 658 0 1026 0 13149 8471 887 0 47 75 88 62 21 37503 36123 0 0 35046 39 343 0 10458 293 388 20 22 916 0 8701 30 16715 0 0 179 349 0 86475 1610 10184 28 177 8482 0 51 392 529 6803 0 0 0 0 0 59 632 2578 0 0 0 0 0 201 0 388 104 79 0 31 0 0 222 3416 0 0 79 0 0 0 0 0 0 0 0 0 0 0 3165 326 85 31 0 31 0 14 12 7737 259 78 0 0 153 23 194 0 18 16 92 960 808 0 0 0 16 27 110
"SV4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5387 66 0 0 2 0 0 0 175 0 38 0 1476 0 0 1246 5924 142 0 0 0 66 0 39 0 1484 0 595 0 7 0 0 0 618 121 0 145 0 0 0 7302 0 0 0 0 0 18 13 1690 0 68 11434 39 0 0 11 0 5 0 0 0 20 0 0 168 0 0 0 0 0 0 0 0 0 0 48172 1597 54934 2394 333 60197 14 4 10 27355 139 84 0 49 0 0 0 0 0 0 0 0 0 0 0 0 148 0 106 0 80 8269 0 14158 0 0 0 0 0 223 24171 204 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 45 0 0 0 0 0 0 0 0 0 6 0
"SV5" 0 15 4 0 1113 1439 5189 920 769 1103 2204 3915 844 0 975 1655 264 961 1747 3344 717 2350 1654 2963 1951 869 3904 3322 1164 2494 3774 1545 1110 4243 1782 2085 4447 772 1920 2229 7562 4331 2083 4312 1079 0 583 2741 172 272 1003 2383 339 516 2263 767 2098 726 272 1869 1289 532 2102 947 3657 946 693 1827 1243 2204 2576 1461 624 2412 286 1552 487 585 518 2777 239 797 313 1398 2928 732 725 965 1291 23 39 1308 5232 3 538 1761 1001 148 57 1275 3876 2129 1071 1619 1081 4536 632 4025 1197 555 606 2397 538 1120 693 5807 4385 1238 1443 534 191 1076 1420 263 4238 2371 1815 288 1330 322 1993 3180 227 519 1714 241 1053 478 229 1928 2249 2887 1246 1377 1838 4673 62 34 19 0 0 0 0 0 0 54 32 30
"SV6" 8 17 0 32 537 269 3719 170 87 492 1980 383 112 0 19 2845 664 508 920 2054 296 1247 451 203 1096 519 883 648 397 119 273 1966 98 265 1847 428 4868 774 105 8 152 384 3020 329 797 535 252 273 31 398 2438 170 26 94 285 471 26 569 78 385 1416 902 252 251 295 68 330 5714 4132 2873 2552 823 2475 858 115 2126 459 624 1125 1215 385 228 222 2547 1325 802 808 12990 2454 87 161 2895 467 2306 300 9012 2189 2493 225 910 3523 126 249 56 2342 2310 602 3171 4246 1278 8562 6050 0 1922 311 1851 2987 4861 3015 293 5623 1258 1149 253 1098 9862 1747 1087 1402 4193 2992 10890 412 727 868 26 174 6263 22 2294 6260 481 2088 3662 1100 999 5279 35 675 0 0 0 0 0 0 0 33 0
"SV7" 0 0 0 0 0 0 0 240 1061 0 0 503 0 0 0 0 0 0 3383 81 0 0 0 0 0 8526 0 0 228 0 0 336 426 96 0 0 2766 0 694 0 0 0 0 2253 3389 0 0 0 0 30 0 246 81 147 0 628 0 485 0 153 0 0 0 188 0 0 187 175 4146 0 152 0 0 18 0 0 133 0 58 0 170 0 1332 4168 0 45 0 23653 188 0 0 0 0 0 0 3855 0 0 0 0 0 0 0 453 0 222 10801 358 31 0 0 176 0 908 0 0 0 0 0 0 0 0 0 5182 0 162 705 0 0 0 60 0 17337 261 259 1098 1492 2682 0 0 0 273 269 0 0 29695 0 0 0 0 0 0 0 0 0 0 37 0
"SV8" 0 0 868 2 96 111 5 0 25 0 58 15 0 0 0 14 0 0 5 52 10177 0 0 1547 0 0 0 0 108 0 0 38 59 0 0 0 107 0 0 0 0 0 15 30 0 0 6822 0 1380 0 35039 0 0 0 0 3 0 0 2019 0 0 10 0 0 0 0 10106 4 39 5 28 93 14 7 0 0 0 21 15960 0 0 9 0 0 0 27801 0 0 0 0 2791 3 0 0 0 45 0 0 154 0 0 0 0 0 0 0 228 4 0 5 0 13 0 0 901 0 0 29 0 0 0 0 2 0 0 0 0 0 0 16342 35 0 0 5 7 0 0 7 0 0 0 0 0 0 0 75 0 0 0 0 0 0 0 0 0 0 0 0
"SV9" 0 0 0 0 9360 207 0 0 806 0 0 0 57 0 0 0 0 89 5608 69 0 0 0 0 0 1279 38 0 4911 0 0 0 382 0 0 0 0 0 241 0 0 0 1454 21 1219 0 143 0 68 0 193 1353 36 186 659 445 11317 49 0 33 0 1178 0 0 0 0 245 2041 7168 292 3306 58 241 0 0 0 3066 0 328 0 589 8759 1509 2989 1171 0 323 0 173 0 324 0 0 0 0 7299 0 0 0 0 0 0 0 50 1732 0 238 0 51 0 3710 646 401 536 2318 0 0 0 128 0 0 0 0 270 0 6527 1242 33 1751 68 227 0 1546 740 403 971 922 1496 0 1670 0 0 5176 5703 741 764 0 0 0 0 0 0 0 0 0 1172 0 0
"SV10" 0 0 0 156 24 0 3996 80 64 2188 3120 26 236 128 0 7082 0 74 9 0 148 107 2687 3384 10 304 0 11 516 27 0 3954 26 99 4868 2807 0 0 0 3 0 60 3 36 277 8 6 154 111 5 0 0 63 54 32923 0 32 0 35 103 6473 769 0 94 951 2 791 29 14 561 0 5 3128 20 35 2920 4 532 114 98 553 216 33 134 0 0 185 9594 0 0 0 0 0 0 36 113 156 0 0 96 1934 0 441 0 0 0 600 30 0 0 0 1306 7 7 170 9 8 0 0 0 2067 30 23 0 0 37 0 512 12 0 0 210 15 0 12 22 43 0 71 5 0 0 0 0 6 0 403 0 0 336 0 0 0 0 0 0 0 0
