"Sample" "sampletype"
"7CBY-SWAB" "7CBY-SWAB" "swab"
"9CBY-SWAB" "9CBY-SWAB" "swab"
"G001" "G001" "faeces"
"G002" "G002" "faeces"
"G003" "G003" "faeces"
"G004" "G004" "faeces"
"G005" "G005" "faeces"
"G006" "G006" "faeces"
"G007" "G007" "faeces"
"G008" "G008" "faeces"
"G009" "G009" "faeces"
"G010" "G010" "faeces"
"G011" "G011" "faeces"
"G012" "G012" "faeces"
"G013" "G013" "faeces"
"G014" "G014" "faeces"
"G015" "G015" "faeces"
"G016" "G016" "faeces"
"G017" "G017" "faeces"
"G018" "G018" "faeces"
"G019" "G019" "faeces"
"G020" "G020" "faeces"
"G021" "G021" "faeces"
"G022" "G022" "faeces"
"G023" "G023" "faeces"
"G024" "G024" "faeces"
"G025" "G025" "faeces"
"G026" "G026" "faeces"
"G027" "G027" "faeces"
"G028" "G028" "faeces"
"G029" "G029" "faeces"
"G030" "G030" "faeces"
"G031" "G031" "faeces"
"G032" "G032" "faeces"
"G033" "G033" "faeces"
"G034" "G034" "faeces"
"G035" "G035" "faeces"
"G036" "G036" "faeces"
"G037" "G037" "faeces"
"G038" "G038" "faeces"
"G039" "G039" "faeces"
"G040" "G040" "faeces"
"G041" "G041" "faeces"
"G042" "G042" "faeces"
"G043" "G043" "faeces"
"G044" "G044" "faeces"
"G045" "G045" "faeces"
"G046" "G046" "faeces"
"G047" "G047" "faeces"
"G048" "G048" "faeces"
"G049" "G049" "faeces"
"G050" "G050" "faeces"
"G051" "G051" "faeces"
"G052" "G052" "faeces"
"G053" "G053" "faeces"
"G054" "G054" "faeces"
"G055" "G055" "faeces"
"G056" "G056" "faeces"
"G057" "G057" "faeces"
"G058" "G058" "faeces"
"G059" "G059" "faeces"
"G060" "G060" "faeces"
"G061" "G061" "faeces"
"G062" "G062" "faeces"
"G063" "G063" "faeces"
"G064" "G064" "faeces"
"G065" "G065" "faeces"
"G066" "G066" "faeces"
"G067" "G067" "faeces"
"G068" "G068" "faeces"
"G069" "G069" "faeces"
"G070" "G070" "faeces"
"G071" "G071" "faeces"
"G072" "G072" "faeces"
"G073" "G073" "faeces"
"G074" "G074" "faeces"
"G075" "G075" "faeces"
"G076" "G076" "faeces"
"G077" "G077" "faeces"
"G078" "G078" "faeces"
"G079" "G079" "faeces"
"G080" "G080" "faeces"
"G081" "G081" "faeces"
"G082" "G082" "faeces"
"G083" "G083" "faeces"
"G084" "G084" "faeces"
"G085" "G085" "faeces"
"G086" "G086" "faeces"
"G087" "G087" "faeces"
"G088" "G088" "faeces"
"G089" "G089" "faeces"
"G090" "G090" "faeces"
"G091" "G091" "faeces"
"G092" "G092" "faeces"
"G093" "G093" "faeces"
"G094" "G094" "faeces"
"G095" "G095" "faeces"
"G096" "G096" "faeces"
"G097" "G097" "faeces"
"G098" "G098" "faeces"
"G099" "G099" "faeces"
"G100" "G100" "faeces"
"G101" "G101" "faeces"
"G102" "G102" "faeces"
"G103" "G103" "faeces"
"G104" "G104" "faeces"
"G105" "G105" "faeces"
"G106" "G106" "faeces"
"G107" "G107" "faeces"
"G108" "G108" "faeces"
"G109" "G109" "faeces"
"G110" "G110" "faeces"
"G111" "G111" "faeces"
"G112" "G112" "faeces"
"G113" "G113" "faeces"
"G114" "G114" "faeces"
"G115" "G115" "faeces"
"G116" "G116" "faeces"
"G117" "G117" "faeces"
"G118" "G118" "faeces"
"G119" "G119" "faeces"
"G120" "G120" "faeces"
"G121" "G121" "faeces"
"G122" "G122" "faeces"
"G123" "G123" "faeces"
"G124" "G124" "faeces"
"G125" "G125" "faeces"
"G126" "G126" "faeces"
"G127" "G127" "faeces"
"G128" "G128" "faeces"
"G129" "G129" "faeces"
"G130" "G130" "faeces"
"G131" "G131" "faeces"
"G132" "G132" "faeces"
"G133" "G133" "faeces"
"G134" "G134" "faeces"
"G135" "G135" "faeces"
"G136" "G136" "faeces"
"G137" "G137" "faeces"
"G138" "G138" "faeces"
"G139" "G139" "faeces"
"G140" "G140" "faeces"
"G141" "G141" "faeces"
"G142" "G142" "faeces"
"G143" "G143" "faeces"
"G144" "G144" "faeces"
"G145" "G145" "faeces"
"G47BY-SWAB" "G47BY-SWAB" "swab"
"G67BY-SWAB" "G67BY-SWAB" "swab"
"LABY-SWAB" "LABY-SWAB" "swab"
"MC1" "MC1" "mock"
"MC2" "MC2" "mock"
"NEG1" "NEG1" "negative"
"NEG2" "NEG2" "negative"
"NEG3" "NEG3" "negative"
"TFBY-SWAB" "TFBY-SWAB" "swab"
"XCBY-SWAB" "XCBY-SWAB" "swab"
"ZABY-SWAB" "ZABY-SWAB" "swab"
