"V1" "V2" "V3" "V4" "V5" "V6"
"SV1" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"SV3" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"SV4" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Psychrobacter"
"SV5" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV6" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus"
"SV7" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV8" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter"
"SV9" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV10" "Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Candidatus_Bacilloplasma"
"SV11" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV12" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"SV13" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" NA
"SV14" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella_7"
"SV15" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Turicibacter"
"SV16" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter"
"SV17" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"SV18" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Aurantimonadaceae" "Aureimonas"
"SV19" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV20" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium_1"
"SV21" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia"
"SV22" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV23" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"SV24" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV25" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto_1"
"SV26" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Aurantimonadaceae" "Aurantimonas"
"SV27" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV28" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Hoeflea"
"SV29" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" NA
"SV30" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV31" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium"
"SV32" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Helicobacteraceae" "Helicobacter"
"SV33" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV34" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"SV35" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium"
"SV36" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" "Devosia"
"SV37" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter"
"SV38" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Limnohabitans"
"SV39" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Psychrobacter"
"SV40" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Porphyromonas"
"SV41" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium"
"SV42" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Subdoligranulum"
"SV43" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Leptotrichiaceae" "Streptobacillus"
"SV44" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" NA
"SV45" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus"
"SV46" "Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasma"
"SV47" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV48" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Erysipelatoclostridium"
"SV49" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Psychrobacter"
"SV50" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV51" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA
"SV52" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA
"SV53" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" NA
"SV54" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" NA
"SV55" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium"
