Bird,Sheet,Date,Time,Observer_code,SiteCode,Flock_size,No. Checked,Associates,API,UNR:API,Res Order,Comments
DUBY,,01/05/2017,06:50,"TH, JS",R5,65,,,2.5,,,
2DBY,,01/05/2017,06:50,"TH, JS",R5,65,,2ZBY,3,3,,
2ZBY,,01/05/2017,06:50,"TH, JS",R5,65,,2DBY,3,3,,
IUBY,,01/05/2017,06:50,"TH, JS",R5,65,,,,,,
LZRR,,01/05/2017,06:50,"TH, JS",R5,65,,,,,,
ZJWR,,01/05/2017,06:50,"TH, JS",R5,65,,,,,,
CUBY,,01/05/2017,06:50,"TH, JS",R5,65,,,,,,
FUBY,,01/05/2017,07:29,"TH, JS",N6,150,,,2.5,,,
JLWY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
CZBY,,01/05/2017,07:29,"TH, JS",N6,150,,XXBY,,,,
LVBY,,01/05/2017,07:29,"TH, JS",N6,150,,44WB,2,2.5,,
HHBB,,01/05/2017,07:29,"TH, JS",N6,150,,CKBB,2,2,,
44WB,,01/05/2017,07:29,"TH, JS",N6,150,,LVBY,2.5,2,,
7IBY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
CKBB,,01/05/2017,07:29,"TH, JS",N6,150,,HHBB,2,2,,
DPON,,01/05/2017,07:29,"TH, JS",N6,150,,CAON,2,2,,
CAON,,01/05/2017,07:29,"TH, JS",N6,150,,DPON,2,2,,
7KBY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
UCBY,,01/05/2017,07:29,"TH, JS",N6,150,,IDBY,2,2,,
IDBY,,01/05/2017,07:29,"TH, JS",N6,150,,UCBY,2,2,,
LLLY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
2KWR,,01/05/2017,07:29,"TH, JS",N6,150,,96WB,2.5,2,,
ATBY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
96WB,,01/05/2017,07:29,"TH, JS",N6,150,,2KWR,2,2.5,,
XXBY,,01/05/2017,07:29,"TH, JS",N6,150,,CZBY,,2,,
D2LY,,01/05/2017,07:57,"TH, JS",R29,90,,unringed,2.5,,,
IZBY,,01/05/2017,07:57,"TH, JS",R29,90,,,2,,,
26WB,,01/05/2017,07:57,"TH, JS",R29,90,,2CWR,2,2.5,,
43WB,,01/05/2017,07:57,"TH, JS",R29,90,,,2,,,
U2BY,,01/05/2017,07:57,"TH, JS",R29,90,,,2,,,
FUBY,,01/05/2017,07:57,"TH, JS",R29,90,,unringed,3,,2,
2CWR,,01/05/2017,07:57,"TH, JS",R29,90,,26WB,2.5,2,,
JUBY,,01/05/2017,08:40,"TH, JS",R29,110,,FVBY,2.5,2,,
FVBY,,01/05/2017,08:40,"TH, JS",R29,110,,JUBY,2,2.5,,
BZBY,,01/05/2017,08:40,"TH, JS",R29,110,,4DBY,2,2,,
4DBY,,01/05/2017,08:40,"TH, JS",R29,110,,BZBY,2,2,,
KIBY,,01/05/2017,08:40,"TH, JS",R29,110,,,2,,,
ZTRY,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
DTBB,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
DNBB,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
X6WR,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
62WB,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
2BWR,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
NDRB,,01/05/2017,11:08,"TH, JS",G2,100,,TSRB,2.5,2,,
TSRB,,01/05/2017,11:08,"TH, JS",G2,100,,NDRB,2,2.5,,
TLRR,,01/05/2017,11:08,"TH, JS",G2,100,,,2,,,
TZLY,,01/05/2017,11:08,"TH, JS",G2,100,,,2.5,,,
H-W-,,01/05/2017,12:00,"TH, JS",R25,130,,,2,,,
2CWR,,01/05/2017,12:00,"TH, JS",R25,130,,,2.5,,,
I9WR,,01/05/2017,12:00,"TH, JS",R25,130,,,3,,,2 juveniles with API 2.5 and 2.0
F3BY,,01/05/2017,12:00,"TH, JS",R25,130,,,2.5,,,
9PBY,,01/05/2017,12:00,"TH, JS",R25,130,,,2.5,,,
32WB,,01/05/2017,12:00,"TH, JS",R25,130,,24WB,3,2.5,,
24WB,,01/05/2017,12:00,"TH, JS",R25,130,,32WB,2.5,3,,
DXON,,01/05/2017,12:00,"TH, JS",R25,130,,unringed,2,2,,
3URR,,01/05/2017,12:00,"TH, JS",R25,130,,,2.5,,,
IVBY,,01/05/2017,12:00,"TH, JS",R25,130,,TUBY,2.5,2,,2 juveniles
TUBY,,01/05/2017,12:00,"TH, JS",R25,130,,IVBY,2,2.5,,2 juveniles
4HYY,,01/05/2017,12:00,"TH, JS",R25,130,,,,,,
PXBY,,01/05/2017,12:00,"TH, JS",R25,130,,unringed,2.5,,,
D2LY,,01/05/2017,12:40,"TH, JS",R25,50,,unringed,2.5,,,
SNBY,,01/05/2017,12:40,"TH, JS",R25,50,,,2.5,,,
4HBY,,01/05/2017,12:40,"TH, JS",R25,110,,4JBY,2.5,3,,
4JBY,,01/05/2017,12:40,"TH, JS",R25,110,,4HBY,3,2.5,,
AXRR,,01/05/2017,12:40,"TH, JS",R25,110,,,3,,,
IUBY,,01/05/2017,12:40,"TH, JS",R25,110,,,2.5,,,
IPRR,,01/05/2017,12:40,"TH, JS",R25,110,,,3,,,
FUBY,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
(m)Z(m)Y,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
A-RR,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
BBBB,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
KABY,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
ADON,,01/05/2017,12:40,"TH, JS",R25,110,,unringed,3,2.5,,
(m)B(m)Y,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
BZBY,,01/05/2017,12:40,"TH, JS",R25,110,,,2,,,
4DBY,,01/05/2017,12:40,"TH, JS",R25,110,,,2,,,
ZAWR,,01/05/2017,12:40,"TH, JS",R25,110,,ZHWR,2,,,1 juvenile
ZHWR,,01/05/2017,12:40,"TH, JS",R25,110,,ZAWR,,2,,1 juvenile
(m)P(m)Y,,01/05/2017,13:44,"TH, JS",R6A,18,,,2,,,2 juveniles
FJRY,,01/05/2017,14:12,"TH, JS",R16,18,,,2,,,
4UBY,,01/05/2017,15:03,"TH, JS",R5,40,,,2.5,,,
4DBY,,01/05/2017,15:03,"TH, JS",R5,40,,BZBY,,,,
BZBY,,01/05/2017,15:03,"TH, JS",R5,40,,4DBY,,,,
F3WR,,01/05/2017,15:03,"TH, JS",R5,40,,unringed,2,2,,
AKBY,,01/05/2017,15:03,"TH, JS",R5,40,,2BDBO,,2,,2 juveniles
2BDBO,,01/05/2017,15:03,"TH, JS",R5,40,,AKBY,2,,,2 juveniles
V6YY,,01/05/2017,15:38,"TH, JS",R29,15,,unringed,1.5,,,VY ring = broken
FUBY,,01/05/2017,15:38,"TH, JS",R29,15,,,,,,
(m)Z(m)Y,,01/05/2017,15:38,"TH, JS",R29,15,,unringed,2,,,
I3YY,,01/05/2017,16:35,"TH, JS",R5,40,,unringed,2,,,3 juveniles
D3LY,,01/05/2017,16:35,"TH, JS",R5,40,,unringed,2,3,,
F3WR,,01/05/2017,16:35,"TH, JS",R5,40,,,2,,,
P2BY,,01/05/2017,16:35,"TH, JS",R5,40,,B2BY,2.5,2,,
B2BY,,01/05/2017,16:35,"TH, JS",R5,40,,P2BY,2,2.5,,
DXON,,01/05/2017,16:35,"TH, JS",R5,40,,,2,,,
42ON,,01/05/2017,16:35,"TH, JS",R5,40,,,2,,,
U2BY,,01/05/2017,17:20,"TH, JS",R29,120,,,,,,
AXRR,,01/05/2017,17:20,"TH, JS",R29,120,,,3,,,
44WB,,01/05/2017,17:20,"TH, JS",R29,120,,,2.5,,,
H3WR,,01/05/2017,17:20,"TH, JS",R29,120,,,2,,,
DTBB,,01/05/2017,17:20,"TH, JS",R29,120,,DNBB,2,2.5,,
DNBB,,01/05/2017,17:20,"TH, JS",R29,120,,DTBB,2.5,2,,
IPRR,,01/05/2017,17:20,"TH, JS",R29,120,,unringed,3,,,
6PBY,,01/05/2017,17:20,"TH, JS",R29,120,,6DBY,2,2.5,,
6DBY,,01/05/2017,17:20,"TH, JS",R29,120,,6PBY,2.5,2,,
B-L-,,01/05/2017,17:20,"TH, JS",R29,120,,,2.5,,,no ring on left leg
#NAME?,,01/05/2017,17:20,"TH, JS",R29,120,,,2,,,no ring on right leg
KVBY,,01/05/2017,17:20,"TH, JS",R29,120,,unringed,3,,,
2CWR,,01/05/2017,18:10,"TH, JS",R25,150,,,,,,
2KWR,,01/05/2017,18:10,"TH, JS",R25,150,,,,,,
44WB,,01/05/2017,18:10,"TH, JS",R25,150,,LVBY,2.5,,,
LVBY,,01/05/2017,18:10,"TH, JS",R25,150,,44WB,,2.5,,
96WB,,01/05/2017,18:10,"TH, JS",R25,150,,,,,,
ATBY,,01/05/2017,18:10,"TH, JS",R25,150,,unringed,2,,,
KVBY,,01/05/2017,18:10,"TH, JS",R25,150,,unringed,2.5,,,
7HWR,,01/05/2017,18:10,"TH, JS",R25,150,,ZAWR,2.5,2,,3 juveniles
D2LY,,01/05/2017,18:10,"TH, JS",R25,150,,unringed,2,,,
